TargetEpsilon FinalAccuracy(InfNorm)
1.0000000000e-02 9.5033877564e-03
1.0000000000e-03 9.8332947339e-04
1.0000000000e-04 1.0066493255e-04
1.0000000000e-05 9.2487539015e-06
1.0000000000e-06 9.4094823966e-07
1.0000000000e-07 9.5655656174e-08
1.0000000000e-08 9.7208956440e-09
1.0000000000e-09 9.8772412471e-10
1.0000000000e-10 1.0035428044e-10
1.0000000000e-11 9.1895380194e-12
1.0000000000e-12 9.3369756371e-13
1.0000000000e-13 9.4702024001e-14
1.0000000000e-14 9.4368957093e-15
1.0000000000e-15 NAN
