Iteration,ShiftedLambda,LambdaError,VectorError
1,9.000000000000000e+00,6.526739999999993e-01,6.015348288075560e-01
2,8.888888888888889e+00,5.415628888888886e-01,4.407506369228856e-01
3,8.787500000000000e+00,4.401739999999990e-01,2.618682072508877e-01
4,8.705547652916074e+00,3.582216529160736e-01,1.087567754542692e-01
5,8.642483660130718e+00,2.951576601307178e-01,9.347861890477058e-02
6,8.595042728578992e+00,2.477167285789914e-01,2.120327480440459e-01
7,8.559749147069240e+00,2.124231470692397e-01,2.935563037127668e-01
8,8.533638678100264e+00,1.863126781002631e-01,3.506789017478160e-01
9,8.514375446758198e+00,1.670494467581971e-01,3.912714659368441e-01
10,8.500182380049960e+00,1.528563800499594e-01,4.204181473015761e-01
11,8.489730554067489e+00,1.424045540674879e-01,4.415049221138706e-01
12,8.482034785412743e+00,1.347087854127427e-01,4.568439441760158e-01
13,8.476367920266654e+00,1.290419202666531e-01,4.680456426037919e-01
14,8.472194388732097e+00,1.248683887320965e-01,4.762488764135299e-01
15,8.469120081459598e+00,1.217940814595977e-01,4.822682805077694e-01
16,8.466855057527720e+00,1.195290575277195e-01,4.866915170269590e-01
17,8.465185993764083e+00,1.178599937640818e-01,4.899451414411410e-01
18,8.463955901324075e+00,1.166299013240746e-01,4.923401588932257e-01
19,8.463049215361988e+00,1.157232153619869e-01,4.941040583769620e-01
20,8.462380839685803e+00,1.150548396858024e-01,4.954036255065884e-01
21,8.461888096760431e+00,1.145620967604302e-01,4.963613435276399e-01
22,8.461524810586280e+00,1.141988105862790e-01,4.970672678023222e-01
23,8.461256955438451e+00,1.139309554384500e-01,4.975876673243355e-01
24,8.461059454641138e+00,1.137334546411370e-01,4.979713369546461e-01
25,8.460913824427374e+00,1.135878244273734e-01,4.982542206370540e-01
26,8.460806439144182e+00,1.134804391441815e-01,4.984628040912260e-01
27,8.460727253540465e+00,1.134012535404647e-01,4.986166079560959e-01
28,8.460668861457892e+00,1.133428614578911e-01,4.987300217145680e-01
29,8.460625802206181e+00,1.132998022061802e-01,4.988136536656336e-01
30,8.460594049362363e+00,1.132680493623628e-01,4.988753251602128e-01
31,8.460570633964977e+00,1.132446339649764e-01,4.989208031094842e-01
32,8.460553366740974e+00,1.132273667409738e-01,4.989543398053468e-01
33,8.460540633320308e+00,1.132146333203075e-01,4.989790708146175e-01
34,8.460531243250177e+00,1.132052432501762e-01,4.989973083008452e-01
35,8.460524318669558e+00,1.131983186695571e-01,4.990107572778076e-01
36,8.460519212223074e+00,1.131932122230737e-01,4.990206750549613e-01
37,8.460515446532813e+00,1.131894465328127e-01,4.990279888037482e-01
38,8.460512669565418e+00,1.131866695654171e-01,4.990333822476517e-01
39,8.460510621719640e+00,1.131846217196397e-01,4.990373595866458e-01
40,8.460509111556302e+00,1.131831115563013e-01,4.990402926353807e-01
41,8.460507997901088e+00,1.131819979010871e-01,4.990424555835721e-01
42,8.460507176646697e+00,1.131811766466964e-01,4.990440506290722e-01
43,8.460506571020378e+00,1.131805710203775e-01,4.990452268803923e-01
44,8.460506124406885e+00,1.131801244068846e-01,4.990460942960074e-01
45,8.460505795055884e+00,1.131797950558830e-01,4.990467339636686e-01
46,8.460505552179004e+00,1.131795521790036e-01,4.990472056807346e-01
47,8.460505373071664e+00,1.131793730716630e-01,4.990475535441906e-01
48,8.460505240990583e+00,1.131792409905827e-01,4.990478100729404e-01
49,8.460505143588586e+00,1.131791435885852e-01,4.990479992477452e-01
50,8.460505071760364e+00,1.131790717603636e-01,4.990481387529963e-01
51,8.460505018791292e+00,1.131790187912909e-01,4.990482416298853e-01
52,8.460504979729725e+00,1.131789797297245e-01,4.990483174955199e-01
53,8.460504950924125e+00,1.131789509241248e-01,4.990483734419489e-01
54,8.460504929681694e+00,1.131789296816930e-01,4.990484146991395e-01
55,8.460504914016656e+00,1.131789140166557e-01,4.990484451238835e-01
56,8.460504902464614e+00,1.131789024646128e-01,4.990484675603372e-01
57,8.460504893945664e+00,1.131788939456637e-01,4.990484841058984e-01
58,8.460504887663442e+00,1.131788876634410e-01,4.990484963072736e-01
59,8.460504883030673e+00,1.131788830306721e-01,4.990485053050682e-01
60,8.460504879614279e+00,1.131788796142779e-01,4.990485119404109e-01
61,8.460504877094889e+00,1.131788770948887e-01,4.990485168335846e-01
62,8.460504875236989e+00,1.131788752369882e-01,4.990485204420116e-01
63,8.460504873866897e+00,1.131788738668966e-01,4.990485231030137e-01
64,8.460504872856536e+00,1.131788728565351e-01,4.990485250653459e-01
65,8.460504872111454e+00,1.131788721114528e-01,4.990485265124500e-01
66,8.460504871561998e+00,1.131788715619972e-01,4.990485275796038e-01
67,8.460504871156807e+00,1.131788711568067e-01,4.990485283665669e-01
68,8.460504870858005e+00,1.131788708580039e-01,4.990485289469058e-01
69,8.460504870637655e+00,1.131788706376540e-01,4.990485293748715e-01
70,8.460504870475159e+00,1.131788704751582e-01,4.990485296904710e-01
71,8.460504870355328e+00,1.131788703553269e-01,4.990485299232069e-01
72,8.460504870266959e+00,1.131788702669585e-01,4.990485300948359e-01
