Separability,LambdaError,VectorError
1.000000000000000e-01,1.097722286691987e-01,1.000000000000000e+00
1.500000000000000e-01,1.160622991777434e-01,1.000000000000000e+00
2.000000000000000e-01,1.231056256626211e-01,1.000000000000000e+00
2.500000000000000e-01,1.310436743319716e-01,1.000000000000000e+00
3.000000000000000e-01,1.400549449880977e-01,1.000000000000000e+00
3.500000000000000e-01,1.503676273610406e-01,1.000000000000000e+00
4.000000000000000e-01,1.622776605355725e-01,1.000000000000000e+00
4.500000000000000e-01,1.761749780478024e-01,1.000000000000000e+00
5.000000000000000e-01,1.925824040777560e-01,1.000000000000000e+00
5.500000000000000e-01,2.122144513838524e-01,1.000000000000000e+00
6.000000000000000e-01,2.360679787161537e-01,1.000000000000000e+00
6.500000000000000e-01,2.655644384230982e-01,1.000000000000000e+00
7.000000000000000e-01,3.027756391836505e-01,1.000000000000000e+00
7.500000000000000e-01,3.507810609962903e-01,1.000000000000000e+00
8.000000000000000e-01,4.142135650549896e-01,1.000000000000000e+00
8.500000000000000e-01,5.000000029575773e-01,1.000000000000000e+00
9.000000000000000e-01,6.180339919346327e-01,1.000000000000000e+00
9.500000000000000e-01,7.807764099897714e-01,1.000000000000000e+00
