Tolerance,LambdaError,VectorError
1.000000000000000e-02,1.347087854127427e-01,4.568439441760158e-01
1.000000000000000e-03,1.157232153619869e-01,4.941040583769620e-01
1.000000000000000e-04,1.134012535404647e-01,4.986166079560959e-01
1.000000000000000e-05,1.132052432501762e-01,4.989973083008452e-01
1.000000000000000e-06,1.131811766466964e-01,4.990440506290722e-01
1.000000000000000e-07,1.131791435885852e-01,4.990479992477452e-01
1.000000000000000e-08,1.131788939456637e-01,4.990484841058984e-01
1.000000000000000e-09,1.131788721114528e-01,4.990485265124500e-01
1.000000000000000e-10,1.131788702669585e-01,4.990485300948359e-01
1.000000000000000e-11,1.131788700404712e-01,4.990485305347242e-01
1.000000000000000e-12,1.131788700213381e-01,4.990485305718847e-01
1.000000000000000e-13,1.131788700189880e-01,4.990485305764475e-01
1.000000000000000e-14,1.131788700187819e-01,4.990485305768467e-01
