Iteration,AbsoluteError
1,0.074717957244746058
2,0.30028204275525394
3,0.11278204275525394
4,0.019032042755253942
5,0.027842957244746058
6,0.0044054572447460583
7,0.0073132927552539417
8,0.0014539177552539417
9,0.0014757697447460583
10,1.0925994746058265e-05
11,0.00072149588025394173
12,0.00035528494275394173
13,0.00017217947400394173
14,8.0626739628941735e-05
15,3.4850372441441735e-05
16,1.1962188847691735e-05
17,5.1809705081673485e-07
18,5.2039488476207652e-06
19,2.3429258984020152e-06
20,9.1241442379264015e-07
21,1.9715868648795265e-07
22,1.604691821643911e-07
23,1.8344752161780775e-08
24,7.1062215001305162e-08
25,2.6358731419762194e-08
26,4.0069896289907092e-09
27,7.168881266395033e-09
28,1.5809458187021619e-09
29,1.2130219051442737e-09
30,1.8396195677894411e-10
31,5.1452997418266477e-10
32,1.6528400870186033e-10
33,9.3389740385418918e-12
34,7.7972517331659219e-11
35,3.4316771646558664e-11
36,1.2488898804008386e-11
37,1.5749623827332471e-12
38,3.8820058279043224e-12
39,1.1535217225855376e-12
40,2.1072033007385471e-13
41,4.7140069625584147e-13
42,1.3034018309099338e-13
43,4.0190073491430667e-14
44,4.5075054799781356e-14
45,2.4424906541753444e-15
46,1.8873791418627661e-14
47,8.2156503822261584e-15
48,2.886579864025407e-15
49,2.2204460492503131e-16
49,2.2204460492503131e-16
