Iteration,AbsoluteError
1,0.36807085350009694
2,0.11807085350009694
3,0.0069291464999030605
4,0.069429146499903061
5,0.038179146499903061
6,0.022554146499903061
7,0.014741646499903061
8,0.010835396499903061
9,0.012788521499903061
10,0.013765083999903061
11,0.013276802749903061
12,0.013520943374903061
13,0.013643013687403061
14,0.013581978531153061
15,0.013612496109278061
16,0.013597237320215561
17,0.013604866714746811
18,0.013601052017481186
19,0.013602959366113998
20,0.013603913040430404
21,0.013603436203272201
22,0.013603674621851303
23,0.013603555412561752
24,0.013603495807916977
25,0.013603525610239364
26,0.013603540511400558
27,0.013603547961981155
28,0.013603551687271453
29,0.013603553549916603
30,0.013603554481239177
31,0.013603554946900465
32,0.013603554714069821
33,0.013603554830485143
34,0.013603554888692804
35,0.013603554917796634
36,0.013603554903244719
37,0.013603554910520677
38,0.013603554906882698
39,0.013603554908701687
40,0.013603554909611182
41,0.013603554910065929
42,0.013603554910293303
43,0.013603554910179616
44,0.013603554910236459
45,0.013603554910264881
46,0.013603554910279092
47,0.013603554910271987
48,0.013603554910275539
49,0.013603554910273763
