Iteration,Approximation
1,10
2,9.5
3,9.75
4,9.875
5,9.9375
6,9.90625
7,9.890625
8,9.8828125
9,9.88671875
10,9.884765625
11,9.8857421875
12,9.88623046875
13,9.885986328125
14,9.8858642578125
15,9.88580322265625
16,9.885772705078125
17,9.8857574462890625
18,9.8857498168945312
19,9.8857460021972656
20,9.8857440948486328
21,9.8857450485229492
22,9.885744571685791
23,9.8857448101043701
24,9.8857449293136597
25,9.8857449889183044
26,9.8857449591159821
27,9.8857449740171432
28,9.8857449814677238
29,9.8857449851930141
30,9.8857449870556593
31,9.8857449879869819
32,9.8857449884526432
33,9.8857449882198125
34,9.8857449883362278
35,9.8857449882780202
36,9.8857449882489163
37,9.8857449882634683
38,9.8857449882707442
39,9.8857449882743822
40,9.8857449882762012
41,9.8857449882771107
42,9.8857449882775654
43,9.8857449882777928
44,9.8857449882776791
45,9.8857449882776223
46,9.8857449882776507
47,9.8857449882776365
48,9.8857449882776436
49,9.88574498827764
50,9.8857449882776418
