Iteration,Approximation
1,9.7413070283600494
2,9.9639410800609305
3,9.8463410464290622
4,9.9048505256837753
5,9.8759167332024393
6,9.8905578065613078
7,9.8833054589626457
8,9.8869544394864821
9,9.8851371947915716
10,9.8860479919852704
11,9.885593232313326
12,9.8858207949057739
13,9.8857070651870416
14,9.8857639443913552
15,9.8857355087414813
16,9.8857497276454769
17,9.8857426184860682
18,9.8857461731446143
19,9.8857443958364772
20,9.8857452844961884
21,9.8857448401678312
22,9.8857450623324077
23,9.8857449512502225
24,9.8857450067913426
25,9.8857449790207905
26,9.8857449929060692
27,9.8857449859634308
28,9.8857449894347482
29,9.8857449876990895
30,9.8857449885669197
31,9.8857449881330037
32,9.8857449883499626
33,9.8857449882414823
34,9.8857449882957216
35,9.8857449882686037
36,9.8857449882821626
37,9.8857449882753841
38,9.8857449882787716
39,9.8857449882770787
40,9.8857449882779243
41,9.8857449882775015
42,9.8857449882777129
43,9.8857449882776081
44,9.8857449882776596
45,9.8857449882776329
46,9.8857449882776489
47,9.88574498827764
48,9.8857449882776436
49,9.8857449882776418
50,9.8857449882776436
