Iteration	AbsoluteError
1	2.6269512151909424e-02
2	5.5002122813010423e-03
3	1.1370715132723586e-03
4	2.3444794870930430e-04
5	4.8313408192335316e-05
6	9.9549703604928652e-06
7	2.0511724858618408e-06
8	4.2263193988922865e-07
9	8.7080721744570155e-08
10	1.7942445307284061e-08
11	3.6969298733424694e-09
12	7.6172956831044303e-10
13	1.5694956445599928e-10
14	3.2338354216676635e-11
15	6.6631145045903395e-12
16	1.3729017922514686e-12
17	2.8266278206956486e-13
18	5.8175686490358203e-14
19	1.1768364061026659e-14
20	2.2204460492503131e-15
21	4.4408920985006262e-16
22	0.0000000000000000e+00
23	0.0000000000000000e+00
