Iteration	AbsoluteError
1	3.8167440841037048e-01
2	1.3167440841037048e-01
3	6.6744084103704804e-03
4	5.5825591589629520e-02
5	2.4575591589629520e-02
6	8.9505915896295196e-03
7	1.1380915896295196e-03
8	2.7681584103704804e-03
9	8.1503341037048038e-04
10	1.6152908962951962e-04
11	3.2675216037048038e-04
12	8.2611535370480382e-05
13	3.9458777129519618e-05
14	2.1576379120480382e-05
15	8.9411990045196177e-06
16	6.3175900579803823e-06
17	1.3118044732696177e-06
18	2.5028927923553823e-06
19	5.9554415954288231e-07
20	3.5813015686336769e-07
21	1.1870700133975731e-07
22	1.1971157776180519e-07
23	5.0228821102393795e-10
24	5.9102356564366687e-08
25	2.9300034176671375e-08
26	1.4398872982823718e-08
27	6.9482923858998902e-09
28	3.2230020874379761e-09
29	1.3603569382070191e-09
30	4.2903436359154057e-10
31	3.6626923716198689e-11
32	1.9620371993767094e-10
33	7.9788398110736125e-11
34	2.1580737197268718e-11
35	7.5230932594649857e-12
36	7.0288219689018661e-12
37	2.4713564528155985e-13
38	3.3908431618101531e-12
39	1.5718537582642966e-12
40	6.6235905649136839e-13
41	2.0761170560490427e-13
42	1.9761969838327786e-14
43	9.3924867883288243e-14
44	3.7081449022480228e-14
45	8.6597395920762210e-15
46	5.5511151231257827e-15
47	1.5543122344752192e-15
48	1.9984014443252818e-15
49	2.2204460492503131e-16
50	6.6613381477509392e-16
51	2.2204460492503131e-16
