Iteration	AbsoluteError
1	1.4443795991759245e-01
2	2.2321090921005649e-02
3	3.4190100861621886e-03
4	5.2298541807971333e-04
5	7.9981123496608575e-05
6	1.2231267321638484e-05
7	1.8704809097158659e-06
8	2.8604527280151615e-07
9	4.3743771271920195e-08
10	6.6895609052153304e-09
11	1.0230074565242830e-09
12	1.5644374684598006e-10
13	2.3923973913042573e-11
14	3.6575187323251157e-12
15	5.5777604757167865e-13
16	8.5265128291212022e-14
17	1.2434497875801753e-14
18	1.7763568394002505e-15
19	0.0000000000000000e+00
20	0.0000000000000000e+00
