Iteration	AbsoluteError
1	1.3162440841037060e-01
2	6.6494084103705386e-03
3	5.5838091589629490e-02
4	2.4594341589629476e-02
5	8.9724665896293576e-03
6	1.1615290896294095e-03
7	2.7439396603705646e-03
8	7.9120528537068857e-04
9	1.8516190212936046e-04
10	3.0302169162066406e-04
11	5.8929894745540778e-05
12	6.3116003691909839e-05
13	2.0930544730735079e-06
14	2.8418420136233635e-05
15	1.3162682831469041e-05
16	5.5348141791977667e-06
17	1.7208798530621294e-06
18	1.8608731000568923e-07
19	7.6739627163924240e-07
20	2.9065448070575428e-07
21	5.2283585239010222e-08
22	6.6901862494361808e-08
23	7.3091386276757930e-09
24	2.2487223416689517e-08
25	7.5890425055291644e-09
26	1.3995182790438321e-10
27	3.5845932888634024e-09
28	1.7223207304795096e-09
29	7.9118445128756321e-10
30	3.2561620066928754e-10
31	9.2832186382452164e-11
32	2.3559820760965522e-11
33	3.4636071788440859e-11
34	5.5380144914352059e-12
35	9.0107921124626955e-12
36	1.7363888105137448e-12
37	1.9009238627631930e-12
38	8.2378548427186615e-14
39	8.2711615334574162e-13
40	3.7236880245927750e-13
41	1.4499512701604544e-13
42	3.1308289294429414e-14
43	2.5535129566378600e-14
44	2.8865798640254070e-15
45	1.1324274851176597e-14
46	4.2188474935755949e-15
47	6.6613381477509392e-16
48	1.1102230246251565e-15
49	2.2204460492503131e-16
