RequestedTolerance	AchievedError
1.0000000000000001e-01	2.6269512151909424e-02
1.0000000000000000e-02	5.5002122813010423e-03
1.0000000000000000e-03	2.3444794870930430e-04
1.0000000000000000e-04	4.8313408192335316e-05
1.0000000000000001e-05	9.9549703604928652e-06
9.9999999999999995e-07	4.2263193988922865e-07
9.9999999999999995e-08	8.7080721744570155e-08
1.0000000000000000e-08	3.6969298733424694e-09
1.0000000000000001e-09	7.6172956831044303e-10
1.0000000000000000e-10	3.2338354216676635e-11
9.9999999999999994e-12	6.6631145045903395e-12
9.9999999999999998e-13	2.8266278206956486e-13
1.0000000000000000e-13	5.8175686490358203e-14
1.0000000000000000e-14	2.2204460492503131e-15
1.0000000000000001e-15	4.4408920985006262e-16
