RequestedTolerance	AchievedError
1.0000000000000001e-01	6.6744084103704804e-03
1.0000000000000000e-02	6.6744084103704804e-03
1.0000000000000000e-03	8.1503341037048038e-04
1.0000000000000000e-04	8.2611535370480382e-05
1.0000000000000001e-05	8.9411990045196177e-06
9.9999999999999995e-07	5.9554415954288231e-07
9.9999999999999995e-08	5.0228821102393795e-10
1.0000000000000000e-08	5.0228821102393795e-10
1.0000000000000001e-09	5.0228821102393795e-10
1.0000000000000000e-10	3.6626923716198689e-11
9.9999999999999994e-12	7.5230932594649857e-12
9.9999999999999998e-13	2.4713564528155985e-13
1.0000000000000000e-13	1.9761969838327786e-14
1.0000000000000000e-14	8.6597395920762210e-15
1.0000000000000001e-15	2.2204460492503131e-16
