RequestedTolerance	AchievedError
1.0000000000000001e-01	2.6269512151909868e-02
1.0000000000000000e-02	5.5002122813012644e-03
1.0000000000000000e-03	5.7889649834885759e-05
1.0000000000000000e-04	5.7889649834885759e-05
1.0000000000000001e-05	1.2496021084551501e-07
9.9999999999999995e-07	1.2496021084551501e-07
9.9999999999999995e-08	2.8270719099054986e-12
1.0000000000000000e-08	2.8270719099054986e-12
1.0000000000000001e-09	2.8270719099054986e-12
1.0000000000000000e-10	2.8270719099054986e-12
9.9999999999999994e-12	2.8270719099054986e-12
9.9999999999999998e-13	0.0000000000000000e+00
1.0000000000000000e-13	0.0000000000000000e+00
1.0000000000000000e-14	0.0000000000000000e+00
1.0000000000000001e-15	0.0000000000000000e+00
