RequestedTolerance	AchievedError
1.0000000000000001e-01	3.4190100861621886e-03
1.0000000000000000e-02	5.2298541807971333e-04
1.0000000000000000e-03	7.9981123496608575e-05
1.0000000000000000e-04	1.2231267321638484e-05
1.0000000000000001e-05	2.8604527280151615e-07
9.9999999999999995e-07	4.3743771271920195e-08
9.9999999999999995e-08	6.6895609052153304e-09
1.0000000000000000e-08	1.0230074565242830e-09
1.0000000000000001e-09	1.5644374684598006e-10
1.0000000000000000e-10	3.6575187323251157e-12
9.9999999999999994e-12	5.5777604757167865e-13
9.9999999999999998e-13	8.5265128291212022e-14
1.0000000000000000e-13	1.2434497875801753e-14
1.0000000000000000e-14	0.0000000000000000e+00
1.0000000000000001e-15	0.0000000000000000e+00
