RequestedTolerance	AchievedError
1.0000000000000001e-01	5.1755011722358191e-02
1.0000000000000000e-02	2.9324882776418093e-03
1.0000000000000000e-03	2.8007776418093044e-06
1.0000000000000000e-04	5.8234378608190696e-05
1.0000000000000001e-05	4.8286168894406956e-06
9.9999999999999995e-07	6.0245307409445559e-08
9.9999999999999995e-08	6.4066263405493373e-10
1.0000000000000000e-08	6.8099179628688944e-09
1.0000000000000001e-09	2.9065994056054478e-10
1.0000000000000000e-10	3.7836400679225335e-13
9.9999999999999994e-12	6.8975936073911726e-12
9.9999999999999998e-13	5.3113069498067489e-13
1.0000000000000000e-13	1.9539925233402755e-14
1.0000000000000000e-14	1.7763568394002505e-15
1.0000000000000001e-15	1.7763568394002505e-15
