RequestedTolerance	AchievedError
1.0000000000000001e-01	4.9146136152700137e-04
1.0000000000000000e-02	1.6522760137860359e-06
1.0000000000000000e-03	1.6522760137860359e-06
1.0000000000000000e-04	1.2208190014462161e-10
1.0000000000000001e-05	1.2208190014462161e-10
9.9999999999999995e-07	1.2208190014462161e-10
9.9999999999999995e-08	1.7763568394002505e-15
1.0000000000000000e-08	1.7763568394002505e-15
1.0000000000000001e-09	1.7763568394002505e-15
1.0000000000000000e-10	1.7763568394002505e-15
9.9999999999999994e-12	1.7763568394002505e-15
9.9999999999999998e-13	0.0000000000000000e+00
1.0000000000000000e-13	0.0000000000000000e+00
1.0000000000000000e-14	0.0000000000000000e+00
1.0000000000000001e-15	0.0000000000000000e+00
