RequestedTolerance	AchievedError
1.0000000000000001e-01	1.4845291372705738e-02
1.0000000000000000e-02	1.7296953496468426e-03
1.0000000000000000e-03	1.9973713967469386e-04
1.0000000000000000e-04	2.3040746110591925e-05
1.0000000000000001e-05	2.6575542562135013e-06
9.9999999999999995e-07	3.0652205618153516e-07
9.9999999999999995e-08	3.5354168259615903e-08
1.0000000000000000e-08	4.0777390353241572e-09
1.0000000000000001e-09	4.7032511218958462e-10
1.0000000000000000e-10	5.4247051295419624e-11
9.9999999999999994e-12	6.2567728775775322e-12
9.9999999999999998e-13	7.2142292140142672e-13
1.0000000000000000e-13	8.3044682241961709e-14
1.0000000000000000e-14	9.5479180117763462e-15
1.0000000000000001e-15	8.8817841970012523e-16
