RequestedTolerance	AchievedError
1.0000000000000001e-01	6.6494084103705386e-03
1.0000000000000000e-02	6.6494084103705386e-03
1.0000000000000000e-03	7.9120528537068857e-04
1.0000000000000000e-04	5.8929894745540778e-05
1.0000000000000001e-05	2.0930544730735079e-06
9.9999999999999995e-07	1.8608731000568923e-07
9.9999999999999995e-08	5.2283585239010222e-08
1.0000000000000000e-08	7.3091386276757930e-09
1.0000000000000001e-09	1.3995182790438321e-10
1.0000000000000000e-10	9.2832186382452164e-11
9.9999999999999994e-12	5.5380144914352059e-12
9.9999999999999998e-13	8.2378548427186615e-14
1.0000000000000000e-13	8.2378548427186615e-14
1.0000000000000000e-14	2.8865798640254070e-15
1.0000000000000001e-15	6.6613381477509392e-16
