RequestedTolerance	AchievedError
1.0000000000000001e-01	1.3312293328256342e-02
1.0000000000000000e-02	1.3878498979460474e-03
1.0000000000000000e-03	7.3034076486511168e-06
1.0000000000000000e-04	7.3034076486511168e-06
1.0000000000000001e-05	7.3034076486511168e-06
9.9999999999999995e-07	3.9654166616998054e-09
9.9999999999999995e-08	3.9654166616998054e-09
1.0000000000000000e-08	3.9654166616998054e-09
1.0000000000000001e-09	1.1324274851176597e-14
1.0000000000000000e-10	1.1324274851176597e-14
9.9999999999999994e-12	1.1324274851176597e-14
9.9999999999999998e-13	1.1324274851176597e-14
1.0000000000000000e-13	1.1324274851176597e-14
1.0000000000000000e-14	1.1324274851176597e-14
1.0000000000000001e-15	0.0000000000000000e+00
