PerturbationPercent	RelativeError
1.00	6.7089646549648395e-04
1.00	9.9569019158391087e-04
1.00	1.0278801243547647e-04
1.00	9.7604126875694419e-04
1.00	3.3037963678710964e-04
1.00	1.0306764150017691e-04
1.00	2.3773048009960178e-05
1.00	1.7109026120835951e-05
1.00	1.7022713856357403e-03
1.00	8.4049632656685942e-04
1.00	6.8112725929234271e-04
1.00	1.2432120517435513e-03
1.00	6.3319871784727524e-06
1.00	8.0470036409859133e-04
1.00	5.0240682476642253e-04
1.00	4.8586852755664456e-04
1.00	4.2945711689715814e-04
1.00	3.7325705132560874e-05
1.00	4.0410168601651325e-05
1.00	1.1671446318862598e-03
2.00	1.0664684485674222e-04
2.00	1.0932283116248261e-03
2.00	6.4689279331252736e-04
2.00	6.7890497511328529e-04
2.00	1.0349966980967502e-03
2.00	3.2886210003168202e-04
2.00	7.2188590028505269e-05
2.00	2.8866129938491338e-03
2.00	3.3821560585569964e-03
2.00	2.3911295649322144e-03
2.00	2.0609743118160102e-03
2.00	8.7194865995592768e-04
2.00	3.1986350164054647e-04
2.00	2.7805976345356520e-03
2.00	1.5683658676720943e-04
2.00	2.3500163100428771e-03
2.00	1.3832992361492342e-03
2.00	3.7048290061667830e-03
2.00	1.3714959771051515e-03
2.00	9.0655677609805798e-04
3.00	3.6040952180512644e-03
3.00	5.0511320262066704e-03
3.00	1.2323676483244758e-04
3.00	1.2525427989606116e-03
3.00	2.3937681853496220e-03
3.00	3.1175128433146649e-03
3.00	9.5875528560785306e-04
3.00	6.8084135464949310e-04
3.00	2.3070989737868867e-04
3.00	2.6145361464287482e-03
3.00	3.5735788923672266e-04
3.00	2.6711086648749448e-03
3.00	2.1965551018529655e-03
3.00	3.5268939785090669e-03
3.00	4.6066893002707902e-04
3.00	1.0774696926085588e-04
3.00	1.9431609892563699e-03
3.00	3.1241900532568640e-03
3.00	2.5835547402681567e-04
3.00	1.4014564894687795e-03
4.00	2.3049265212912451e-03
4.00	1.0879752388630501e-04
4.00	2.3581373406632990e-03
4.00	2.5993999753465562e-03
4.00	1.6530962998706259e-03
4.00	1.0280592134838109e-03
4.00	1.9560499653983152e-03
4.00	5.3741391122316918e-03
4.00	2.0974685478472124e-03
4.00	1.1518258565667730e-03
4.00	2.9799700699838201e-03
4.00	3.1167889577141728e-03
4.00	4.1198253289845879e-04
4.00	1.6696042285277790e-04
4.00	7.1560024044402335e-04
4.00	4.7627356278730952e-03
4.00	2.9680491025691931e-03
4.00	2.0266232305432056e-03
4.00	8.0576276608149928e-05
4.00	5.8186927914803902e-05
5.00	5.7435227603236524e-04
5.00	1.5585165862193803e-04
5.00	3.5399668258612360e-03
5.00	5.7545181084883070e-03
5.00	1.2719513532493186e-03
5.00	5.6371856603258195e-03
5.00	4.2807469948452718e-04
5.00	2.7510435766359923e-03
5.00	8.0137556614476855e-04
5.00	2.5624759311631928e-03
5.00	5.8694362334671896e-03
5.00	7.6673910215959429e-03
5.00	1.4159252831773550e-03
5.00	5.5701592666178943e-03
5.00	6.1912453224918377e-03
5.00	4.8053455474316633e-03
5.00	5.1246139442716410e-03
5.00	2.3442275995895910e-03
5.00	5.3000112348255560e-03
5.00	7.2859404854732036e-03
