TargetCond Perturbation ElementType RelErrorAvg
1.0e+00 1 0 3.7997e-05
1.0e+00 1 1 0.0207787
1.0e+00 2 0 9.40297e-05
1.0e+00 2 1 0.0495837
1.0e+00 3 0 0.000135165
1.0e+00 3 1 0.0744088
1.0e+00 4 0 0.00020634
1.0e+00 4 1 0.0808996
1.0e+00 5 0 0.000235391
1.0e+00 5 1 0.116548
1.0e+01 1 0 2.48817e-06
1.0e+01 1 1 0.00566764
1.0e+01 2 0 4.54868e-06
1.0e+01 2 1 0.0118805
1.0e+01 3 0 8.09037e-06
1.0e+01 3 1 0.0140051
1.0e+01 4 0 1.17479e-05
1.0e+01 4 1 0.0190034
1.0e+01 5 0 1.34148e-05
1.0e+01 5 1 0.0284604
1.0e+02 1 0 8.55356e-07
1.0e+02 1 1 0.00623037
1.0e+02 2 0 1.40758e-06
1.0e+02 2 1 0.0102676
1.0e+02 3 0 1.45797e-06
1.0e+02 3 1 0.0136821
1.0e+02 4 0 2.98714e-06
1.0e+02 4 1 0.0221886
1.0e+02 5 0 3.38361e-06
1.0e+02 5 1 0.0202227
1.0e+03 1 0 9.70731e-07
1.0e+03 1 1 0.00492378
1.0e+03 2 0 1.98518e-06
1.0e+03 2 1 0.00933234
1.0e+03 3 0 1.97914e-06
1.0e+03 3 1 0.0195118
1.0e+03 4 0 3.84474e-06
1.0e+03 4 1 0.021076
1.0e+03 5 0 3.93294e-06
1.0e+03 5 1 0.0245345
1.0e+04 1 0 1.25317e-07
1.0e+04 1 1 0.00513507
1.0e+04 2 0 2.4635e-07
1.0e+04 2 1 0.00918358
1.0e+04 3 0 3.66762e-07
1.0e+04 3 1 0.0165304
1.0e+04 4 0 5.16905e-07
1.0e+04 4 1 0.0176273
1.0e+04 5 0 6.9291e-07
1.0e+04 5 1 0.0178181
1.0e+05 1 0 1.89548e-08
1.0e+05 1 1 0.00411011
1.0e+05 2 0 3.75409e-08
1.0e+05 2 1 0.0114201
1.0e+05 3 0 6.07578e-08
1.0e+05 3 1 0.0158459
1.0e+05 4 0 9.35181e-08
1.0e+05 4 1 0.0231636
1.0e+05 5 0 1.09058e-07
1.0e+05 5 1 0.0204507
1.0e+06 1 0 1.07687e-10
1.0e+06 1 1 0.00538319
1.0e+06 2 0 2.69519e-10
1.0e+06 2 1 0.0090659
1.0e+06 3 0 3.99895e-10
1.0e+06 3 1 0.0143978
1.0e+06 4 0 5.20184e-10
1.0e+06 4 1 0.0168065
1.0e+06 5 0 6.11665e-10
1.0e+06 5 1 0.0268156
1.0e+07 1 0 5.2538e-09
1.0e+07 1 1 0.0051678
1.0e+07 2 0 1.16802e-08
1.0e+07 2 1 0.0114186
1.0e+07 3 0 1.28269e-08
1.0e+07 3 1 0.011099
1.0e+07 4 0 2.18674e-08
1.0e+07 4 1 0.0173432
1.0e+07 5 0 2.85781e-08
1.0e+07 5 1 0.0289089
1.0e+08 1 0 2.14704e-09
1.0e+08 1 1 0.00465597
1.0e+08 2 0 5.84776e-09
1.0e+08 2 1 0.0102339
1.0e+08 3 0 6.48081e-09
1.0e+08 3 1 0.0136318
1.0e+08 4 0 8.91497e-09
1.0e+08 4 1 0.02057
1.0e+08 5 0 1.76239e-08
1.0e+08 5 1 0.0224692
