TargetCond Perturbation RelErrorAvg
1.0e+00 1 0.0533412
1.0e+00 2 0.0817481
1.0e+00 3 0.136863
1.0e+00 4 0.175132
1.0e+00 5 0.230727
1.0e+01 1 0.0296638
1.0e+01 2 0.0680897
1.0e+01 3 0.109843
1.0e+01 4 0.11063
1.0e+01 5 0.14072
1.0e+02 1 0.0193544
1.0e+02 2 0.033207
1.0e+02 3 0.0602655
1.0e+02 4 0.0754734
1.0e+02 5 0.103607
1.0e+03 1 0.0142327
1.0e+03 2 0.0357436
1.0e+03 3 0.0417538
1.0e+03 4 0.0695264
1.0e+03 5 0.102509
1.0e+04 1 0.00905491
1.0e+04 2 0.0223014
1.0e+04 3 0.0348102
1.0e+04 4 0.0407436
1.0e+04 5 0.0538669
1.0e+05 1 0.0116865
1.0e+05 2 0.0210565
1.0e+05 3 0.03636
1.0e+05 4 0.0396809
1.0e+05 5 0.0624772
1.0e+06 1 0.0324407
1.0e+06 2 0.0654468
1.0e+06 3 0.0711285
1.0e+06 4 0.0951447
1.0e+06 5 0.149185
1.0e+07 1 0.0137915
1.0e+07 2 0.0236433
1.0e+07 3 0.0423965
1.0e+07 4 0.0593901
1.0e+07 5 0.0688552
1.0e+08 1 0.0109611
1.0e+08 2 0.0243097
1.0e+08 3 0.0352873
1.0e+08 4 0.0419829
1.0e+08 5 0.0602577
