ConditionNumber TargetTolerance Iterations Time ActualError FinalResidualNorm
1.00000000e+00 1.0000000000000000e-02 2 0.00000000 1.7763568394002505e-15 1.7763568394002505e-15
1.00000000e+00 1.0000000000000000e-03 2 0.00000000 1.7763568394002505e-15 1.7763568394002505e-15
1.00000000e+00 1.0000000000000000e-04 2 0.00000000 1.7763568394002505e-15 1.7763568394002505e-15
1.00000000e+00 1.0000000000000001e-05 2 0.00000000 1.7763568394002505e-15 1.7763568394002505e-15
1.00000000e+00 9.9999999999999995e-07 2 0.00000000 1.7763568394002505e-15 1.7763568394002505e-15
1.00000000e+00 9.9999999999999995e-08 2 0.00000000 1.7763568394002505e-15 1.7763568394002505e-15
1.00000000e+00 1.0000000000000000e-08 2 0.00000000 1.7763568394002505e-15 1.7763568394002505e-15
1.00000000e+00 1.0000000000000001e-09 2 0.00000000 1.7763568394002505e-15 1.7763568394002505e-15
1.00000000e+00 1.0000000000000000e-10 2 0.00000000 1.7763568394002505e-15 1.7763568394002505e-15
1.00000000e+00 9.9999999999999994e-12 2 0.00000000 1.7763568394002505e-15 1.7763568394002505e-15
1.00000000e+00 9.9999999999999998e-13 2 0.00000000 1.7763568394002505e-15 1.7763568394002505e-15
1.00000000e+00 1.0000000000000000e-13 2 0.00000000 1.7763568394002505e-15 1.7763568394002505e-15
1.00000000e+00 1.0000000000000000e-14 3 0.00000000 1.7763568394002505e-15 0.0000000000000000e+00
1.00000000e+00 1.0000000000000001e-15 4 0.00000000 1.7763568394002505e-15 0.0000000000000000e+00
1.00000000e+01 1.0000000000000000e-02 61 0.00100000 1.2755184528501928e-01 4.2387691711146314e-02
1.00000000e+01 1.0000000000000000e-03 93 0.00000000 1.3403382812011699e-02 4.3957628675355132e-03
1.00000000e+01 1.0000000000000000e-04 126 0.00000000 1.3486016969057602e-03 4.3810820738166001e-04
1.00000000e+01 1.0000000000000001e-05 159 0.00100000 1.3832276816927447e-04 4.4629239778437579e-05
1.00000000e+01 9.9999999999999995e-07 193 0.00000000 1.4277964645259544e-05 4.4779758745505660e-06
1.00000000e+01 9.9999999999999995e-08 228 0.00100000 1.3745388312003115e-06 4.3221339041110696e-07
1.00000000e+01 1.0000000000000000e-08 262 0.00100000 1.4078425358832192e-07 4.4341700089489677e-08
1.00000000e+01 1.0000000000000001e-09 296 0.00100000 1.4372668388773491e-08 4.5319801245113922e-09
1.00000000e+01 1.0000000000000000e-10 331 0.00100000 1.3688357114460814e-09 4.3197445620535291e-10
1.00000000e+01 9.9999999999999994e-12 365 0.00100000 1.3920420371960063e-10 4.3947068206762196e-11
1.00000000e+01 9.9999999999999998e-13 399 0.00000000 1.4148682225822995e-11 4.4657610942522297e-12
1.00000000e+01 1.0000000000000000e-13 433 0.00000000 1.4406253967536031e-12 4.5474735088646412e-13
1.00000000e+01 1.0000000000000000e-14 467 0.00100000 1.4921397450962104e-13 4.2632564145606011e-14
1.00000000e+01 1.0000000000000001e-15 50000 0.11300000 1.7763568394002505e-14 7.1054273576010019e-15
1.00000000e+02 1.0000000000000000e-02 186 0.00100000 9.9177078157010712e-01 1.7244467862430568e-01
1.00000000e+02 1.0000000000000000e-03 427 0.00100000 1.4357893785003650e-01 1.7513596164022260e-02
1.00000000e+02 1.0000000000000000e-04 775 0.00200000 1.7336499502023095e-02 1.7525863100757988e-03
1.00000000e+02 1.0000000000000001e-05 1177 0.00200000 1.7546389120957073e-03 1.7569902838943108e-04
1.00000000e+02 9.9999999999999995e-07 1586 0.00300000 1.7606429134264800e-04 1.7484026063385727e-05
1.00000000e+02 9.9999999999999995e-08 1994 0.00600000 1.7591930566496217e-05 1.7528326878846201e-06
1.00000000e+02 1.0000000000000000e-08 2401 0.00700000 1.7576365456406506e-06 1.7543338870495973e-07
1.00000000e+02 1.0000000000000001e-09 2808 0.00600000 1.7509260352710498e-07 1.7492023829390746e-08
1.00000000e+02 1.0000000000000000e-10 3214 0.00800000 1.7514902417303801e-08 1.7505819016605528e-09
1.00000000e+02 9.9999999999999994e-12 3620 0.00900000 1.7506209815110196e-09 1.7502088667242788e-10
1.00000000e+02 9.9999999999999998e-13 4026 0.01000000 1.7485302095110455e-10 1.7482904013377265e-11
1.00000000e+02 1.0000000000000000e-13 4432 0.01200000 1.7420731523998256e-11 1.7585932710062480e-12
1.00000000e+02 1.0000000000000000e-14 4829 0.01300000 1.7941204077942530e-12 1.7053025658242404e-13
1.00000000e+02 1.0000000000000001e-15 50000 0.14900000 2.0605739337042905e-13 2.8421709430404007e-14
1.00000000e+03 1.0000000000000000e-02 357 0.00200000 5.2072857755698516e+00 5.3530531185307950e-01
1.00000000e+03 1.0000000000000000e-03 2192 0.00700000 1.3707710251814054e+00 5.3914051225746107e-02
1.00000000e+03 1.0000000000000000e-04 5379 0.01500000 1.6313551989356689e-01 5.3907642899133634e-03
1.00000000e+03 1.0000000000000001e-05 9256 0.02600000 1.7161979284442630e-02 5.3942174859855641e-04
1.00000000e+03 9.9999999999999995e-07 13238 0.04200000 1.7183165585663573e-03 5.3925166355384135e-05
1.00000000e+03 9.9999999999999995e-08 17194 0.05800000 1.7100674873660182e-04 5.3931975010357291e-06
1.00000000e+03 1.0000000000000000e-08 21133 0.06100000 1.7068377760054432e-05 5.3922691733987449e-07
1.00000000e+03 1.0000000000000001e-09 25065 0.07700000 1.7063802921768456e-06 5.3941526800826978e-08
1.00000000e+03 1.0000000000000000e-10 28996 0.08900000 1.7053997680704924e-07 5.3922413201235031e-09
1.00000000e+03 9.9999999999999994e-12 32925 0.09700000 1.7058736645481076e-08 5.3942272870699526e-10
1.00000000e+03 9.9999999999999998e-13 36854 0.11500000 1.7062635748743560e-09 5.3969273494658410e-11
1.00000000e+03 1.0000000000000000e-13 40780 0.11100000 1.7113777062149893e-10 5.3965720780979609e-12
1.00000000e+03 1.0000000000000000e-14 44665 0.10500000 1.7770673821360106e-11 5.4711790653527714e-13
1.00000000e+03 1.0000000000000001e-15 50000 0.12700000 2.2151169787321123e-12 9.2370555648813024e-14
1.00000000e+04 1.0000000000000000e-02 366 0.00100000 1.7628925283958161e+01 1.8830221530870404e+00
1.00000000e+04 1.0000000000000000e-03 4277 0.01000000 1.1923274910060503e+01 1.8884731183183590e-01
1.00000000e+04 1.0000000000000000e-04 38338 0.09600000 1.8990538920068119e+00 1.8889166028998261e-02
1.00000000e+04 1.0000000000000001e-05 50000 0.09900000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+04 9.9999999999999995e-07 50000 0.09700000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+04 9.9999999999999995e-08 50000 0.09600000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+04 1.0000000000000000e-08 50000 0.09200000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+04 1.0000000000000001e-09 50000 0.09500000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+04 1.0000000000000000e-10 50000 0.09200000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+04 9.9999999999999994e-12 50000 0.09400000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+04 9.9999999999999998e-13 50000 0.09200000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+04 1.0000000000000000e-13 50000 0.09600000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+04 1.0000000000000000e-14 50000 0.09300000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+04 1.0000000000000001e-15 50000 0.09300000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+05 1.0000000000000000e-02 460 0.00100000 1.1869567529601545e+01 5.5510930700677079e+00
1.00000000e+05 1.0000000000000000e-03 3119 0.00700000 9.0285381550878956e+00 5.5714232286118204e-01
1.00000000e+05 1.0000000000000000e-04 29922 0.06000000 2.6152217057794562e+00 5.5747916245536544e-02
1.00000000e+05 1.0000000000000001e-05 50000 0.09300000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+05 9.9999999999999995e-07 50000 0.09800000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+05 9.9999999999999995e-08 50000 0.08800000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+05 1.0000000000000000e-08 50000 0.09700000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+05 1.0000000000000001e-09 50000 0.09500000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+05 1.0000000000000000e-10 50000 0.09300000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+05 9.9999999999999994e-12 50000 0.09800000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+05 9.9999999999999998e-13 50000 0.09100000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+05 1.0000000000000000e-13 50000 0.09500000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+05 1.0000000000000000e-14 50000 0.09900000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+05 1.0000000000000001e-15 50000 0.09200000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+06 1.0000000000000000e-02 280 0.00100000 1.6589390534458701e+01 1.6034272909244464e+01
1.00000000e+06 1.0000000000000000e-03 2863 0.00600000 1.3236164645603203e+01 1.6174253482977292e+00
1.00000000e+06 1.0000000000000000e-04 25733 0.05100000 8.9530412901423926e+00 1.6178032340121717e-01
1.00000000e+06 1.0000000000000001e-05 50000 0.09700000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+06 9.9999999999999995e-07 50000 0.09000000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+06 9.9999999999999995e-08 50000 0.09200000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+06 1.0000000000000000e-08 50000 0.08800000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+06 1.0000000000000001e-09 50000 0.08900000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+06 1.0000000000000000e-10 50000 0.09300000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+06 9.9999999999999994e-12 50000 0.08800000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+06 9.9999999999999998e-13 50000 0.09600000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+06 1.0000000000000000e-13 50000 0.08900000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+06 1.0000000000000000e-14 50000 0.10400000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+06 1.0000000000000001e-15 50000 0.09900000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+07 1.0000000000000000e-02 221 0.00000000 2.5902820551480989e+01 1.2979590512463437e+02
1.00000000e+07 1.0000000000000000e-03 1332 0.00300000 2.7301939765618656e+01 1.3029667469898982e+01
1.00000000e+07 1.0000000000000000e-04 47133 0.09400000 1.7472328339487898e+01 1.3038194593927983e+00
1.00000000e+07 1.0000000000000001e-05 50000 0.09300000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+07 9.9999999999999995e-07 50000 0.09300000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+07 9.9999999999999995e-08 50000 0.09300000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+07 1.0000000000000000e-08 50000 0.09300000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+07 1.0000000000000001e-09 50000 0.08900000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+07 1.0000000000000000e-10 50000 0.08900000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+07 9.9999999999999994e-12 50000 0.09200000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+07 9.9999999999999998e-13 50000 0.09500000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+07 1.0000000000000000e-13 50000 0.09400000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+07 1.0000000000000000e-14 50000 0.10200000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+07 1.0000000000000001e-15 50000 0.09500000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+08 1.0000000000000000e-02 306 0.00100000 1.8297110124049606e+01 3.8821229090173438e+02
1.00000000e+08 1.0000000000000000e-03 3529 0.00700000 1.8164244288598610e+01 3.9177779992058277e+01
1.00000000e+08 1.0000000000000000e-04 41997 0.08900000 1.3073144410851913e+01 3.9190365046924853e+00
1.00000000e+08 1.0000000000000001e-05 50000 0.09700000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+08 9.9999999999999995e-07 50000 0.10700000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+08 9.9999999999999995e-08 50000 0.09900000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+08 1.0000000000000000e-08 50000 0.09900000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+08 1.0000000000000001e-09 50000 0.09700000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+08 1.0000000000000000e-10 50000 0.10600000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+08 9.9999999999999994e-12 50000 0.10400000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+08 9.9999999999999998e-13 50000 0.10100000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+08 1.0000000000000000e-13 50000 0.08900000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+08 1.0000000000000000e-14 50000 0.09000000 1.0000000000000000e+00 1.0000000000000000e+00
1.00000000e+08 1.0000000000000001e-15 50000 0.09100000 1.0000000000000000e+00 1.0000000000000000e+00
