PerturbationLevel	Run	EigenvalueError	EigenvectorError	Iterations
0.010	1	2.4279735710e-03	1.1658327887e-02	8
0.010	2	7.7891195740e-03	3.7731621967e-02	9
0.010	3	5.5748844668e-04	2.6815411080e-03	8
0.010	4	1.3250474972e-03	6.3843410217e-03	8
0.010	5	8.7886226558e-04	4.2261140906e-03	8
0.010	6	4.2618481950e-03	2.0427959029e-02	7
0.010	7	1.1230079707e-02	5.4540102856e-02	8
0.010	8	1.2971147402e-03	6.2496009766e-03	8
0.010	9	1.5076013924e-03	7.2650930600e-03	8
0.010	10	6.5338564444e-03	3.1619693921e-02	8
0.010	11	5.9086437620e-03	2.8579712690e-02	8
0.010	12	2.9299574200e-04	1.4104103972e-03	8
0.010	13	6.8386268394e-03	3.2694989620e-02	7
0.010	14	1.3343657606e-03	6.4137548634e-03	8
0.010	15	9.9426777777e-03	4.7381930959e-02	7
0.010	16	1.9387978668e-03	9.3137591524e-03	8
0.010	17	2.2828671821e-03	1.1008548051e-02	8
0.010	18	1.6276805241e-03	7.8445811499e-03	8
0.010	19	1.9827687309e-03	9.5245970817e-03	8
0.010	20	3.7471050340e-03	1.7969667414e-02	7
0.020	1	5.4650240625e-03	2.6164008775e-02	8
0.020	2	9.7384711801e-04	4.6907257193e-03	8
0.020	3	2.1222856183e-02	1.0372156875e-01	9
0.020	4	5.3639358858e-03	2.5933512941e-02	8
0.020	5	4.0753575149e-03	1.9682486730e-02	8
0.020	6	8.1355292166e-03	3.9420239247e-02	8
0.020	7	1.9159152386e-03	9.2040313098e-03	8
0.020	8	2.4358180136e-04	1.1724912806e-03	8
0.020	9	1.4286572925e-02	6.7758899563e-02	7
0.020	10	1.0947514090e-02	5.3156982633e-02	8
0.020	11	8.1145918192e-03	3.9318153669e-02	8
0.020	12	9.0183337695e-03	4.3018994788e-02	8
0.020	13	3.1373522381e-04	1.5094149066e-03	8
0.020	14	9.2044136764e-03	4.4635761702e-02	8
0.020	15	4.1477001107e-03	1.9883034198e-02	7
0.020	16	4.2399572867e-03	2.0480267263e-02	9
