Tolerance	EigenvalueError	EigenvectorError	Iterations
1.0e-03	2.0481308427e-08	9.9451096739e-05	3
1.0e-04	4.5737191812e-11	5.0113128366e-06	4
1.0e-05	4.5737191812e-11	5.0113128366e-06	4
1.0e-06	1.3300471835e-13	2.9820218600e-07	5
1.0e-07	6.6613381478e-16	2.1775957305e-08	6
1.0e-08	2.2204460493e-16	1.8263660560e-09	7
1.0e-09	4.4408920985e-16	1.6202545728e-10	8
1.0e-10	4.4408920985e-16	1.4628347908e-11	9
1.0e-11	2.2204460493e-16	1.3274564278e-12	10
1.0e-12	2.2204460493e-16	1.2072916916e-13	11
1.0e-13	8.8817841970e-16	1.1057253171e-14	12
